technology,year,scenario,value
Bio,2016,postapril,0
Bio,2017,postapril,0
Bio,2018,postapril,0
Bio,2019,postapril,0
Bio,2020,postapril,0
Bio,2021,postapril,0
Bio,2022,postapril,0
Bio,2023,postapril,0
Bio,2024,postapril,0
Bio,2025,postapril,0
Bio,2026,postapril,0
Bio,2027,postapril,20
Bio,2028,postapril,20
Bio,2029,postapril,20
Bio,2030,postapril,20
Bio,2031,postapril,20
Bio,2032,postapril,20
Bio,2033,postapril,20
Bio,2034,postapril,20
Bio,2035,postapril,20
Bio,2036,postapril,20
Bio,2037,postapril,20
Bio,2038,postapril,20
Bio,2039,postapril,20
Bio,2040,postapril,20
Bio,2041,postapril,20
Bio,2042,postapril,20
Bio,2043,postapril,20
Bio,2044,postapril,20
Bio,2045,postapril,203.7
DER,2016,postapril,90.674616
DER,2017,postapril,112.415216
DER,2018,postapril,115.977216
DER,2019,postapril,120.089216
DER,2020,postapril,123.959116
DER,2021,postapril,127.753116
DER,2022,postapril,140.3447655
DER,2023,postapril,154.476278
DER,2024,postapril,168.6137905
DER,2025,postapril,182.745303
DER,2026,postapril,196.8768155
DER,2027,postapril,211.008328
DER,2028,postapril,225.1458405
DER,2029,postapril,239.277353
DER,2030,postapril,253.4088655
DER,2031,postapril,267.5404455
DER,2032,postapril,281.6779581
DER,2033,postapril,295.809403
DER,2034,postapril,309.9409156
DER,2035,postapril,324.0724281
DER,2036,postapril,338.2099406
DER,2037,postapril,352.3414531
DER,2038,postapril,366.4729656
DER,2039,postapril,380.6044781
DER,2040,postapril,394.7419906
DER,2041,postapril,408.8735706
DER,2042,postapril,423.0050831
DER,2043,postapril,437.1365956
DER,2044,postapril,451.2741081
DER,2045,postapril,465.4056206
Fossil,2016,postapril,232.7
Fossil,2017,postapril,232.7
Fossil,2018,postapril,232.7
Fossil,2019,postapril,232.7
Fossil,2020,postapril,232.7
Fossil,2021,postapril,232.7
Fossil,2022,postapril,232.7
Fossil,2023,postapril,232.7
Fossil,2024,postapril,232.7
Fossil,2025,postapril,217.2
Fossil,2026,postapril,217.2
Fossil,2027,postapril,203.7
Fossil,2028,postapril,203.7
Fossil,2029,postapril,203.7
Fossil,2030,postapril,183.7
Fossil,2031,postapril,183.7
Fossil,2032,postapril,183.7
Fossil,2033,postapril,183.7
Fossil,2034,postapril,183.7
Fossil,2035,postapril,183.7
Fossil,2036,postapril,183.7
Fossil,2037,postapril,183.7
Fossil,2038,postapril,183.7
Fossil,2039,postapril,183.7
Fossil,2040,postapril,183.7
Fossil,2041,postapril,183.7
Fossil,2042,postapril,183.7
Fossil,2043,postapril,183.7
Fossil,2044,postapril,183.7
Fossil,2045,postapril,0
PV,2016,postapril,0
PV,2017,postapril,0
PV,2018,postapril,1
PV,2019,postapril,1
PV,2020,postapril,1
PV,2021,postapril,1
PV,2022,postapril,1
PV,2023,postapril,1
PV,2024,postapril,1
PV,2025,postapril,1
PV,2026,postapril,1
PV,2027,postapril,1
PV,2028,postapril,1
PV,2029,postapril,1
PV,2030,postapril,1
PV,2031,postapril,1
PV,2032,postapril,1
PV,2033,postapril,1
PV,2034,postapril,1
PV,2035,postapril,1
PV,2036,postapril,1
PV,2037,postapril,1
PV,2038,postapril,1
PV,2039,postapril,1
PV,2040,postapril,1
PV,2041,postapril,1
PV,2042,postapril,1
PV,2043,postapril,1
PV,2044,postapril,1
PV,2045,postapril,1
Wind,2016,postapril,34.5
Wind,2017,postapril,34.5
Wind,2018,postapril,36.5
Wind,2019,postapril,36.5
Wind,2020,postapril,56.5
Wind,2021,postapril,56.5
Wind,2022,postapril,56.5
Wind,2023,postapril,56.5
Wind,2024,postapril,56.5
Wind,2025,postapril,56.5
Wind,2026,postapril,56.5
Wind,2027,postapril,56.5
Wind,2028,postapril,56.5
Wind,2029,postapril,56.5
Wind,2030,postapril,76.5
Wind,2031,postapril,76.5
Wind,2032,postapril,76.5
Wind,2033,postapril,76.5
Wind,2034,postapril,76.5
Wind,2035,postapril,76.5
Wind,2036,postapril,76.5
Wind,2037,postapril,76.5
Wind,2038,postapril,76.5
Wind,2039,postapril,76.5
Wind,2040,postapril,76.5
Wind,2041,postapril,76.5
Wind,2042,postapril,76.5
Wind,2043,postapril,76.5
Wind,2044,postapril,76.5
Wind,2045,postapril,76.5
Geo,2016,postapril,38
Geo,2017,postapril,38
Geo,2018,postapril,38
Geo,2019,postapril,38
Geo,2020,postapril,38
Geo,2021,postapril,38
Geo,2022,postapril,38
Geo,2023,postapril,38
Geo,2024,postapril,38
Geo,2025,postapril,58
Geo,2026,postapril,58
Geo,2027,postapril,58
Geo,2028,postapril,58
Geo,2029,postapril,58
Geo,2030,postapril,78
Geo,2031,postapril,78
Geo,2032,postapril,78
Geo,2033,postapril,78
Geo,2034,postapril,78
Geo,2035,postapril,78
Geo,2036,postapril,78
Geo,2037,postapril,78
Geo,2038,postapril,78
Geo,2039,postapril,78
Geo,2040,postapril,78
Geo,2041,postapril,78
Geo,2042,postapril,78
Geo,2043,postapril,78
Geo,2044,postapril,78
Geo,2045,postapril,78
Hydro,2016,postapril,16.71
Hydro,2017,postapril,16.71
Hydro,2018,postapril,17.51
Hydro,2019,postapril,17.51
Hydro,2020,postapril,17.51
Hydro,2021,postapril,17.51
Hydro,2022,postapril,17.51
Hydro,2023,postapril,17.51
Hydro,2024,postapril,17.51
Hydro,2025,postapril,17.51
Hydro,2026,postapril,17.51
Hydro,2027,postapril,17.51
Hydro,2028,postapril,17.51
Hydro,2029,postapril,17.51
Hydro,2030,postapril,17.51
Hydro,2031,postapril,17.51
Hydro,2032,postapril,17.51
Hydro,2033,postapril,17.51
Hydro,2034,postapril,17.51
Hydro,2035,postapril,17.51
Hydro,2036,postapril,17.51
Hydro,2037,postapril,17.51
Hydro,2038,postapril,17.51
Hydro,2039,postapril,17.51
Hydro,2040,postapril,17.51
Hydro,2041,postapril,17.51
Hydro,2042,postapril,17.51
Hydro,2043,postapril,17.51
Hydro,2044,postapril,17.51
Hydro,2045,postapril,17.51
Bio,2016,e3,0
Bio,2017,e3,0
Bio,2018,e3,0
Bio,2019,e3,0
Bio,2020,e3,0
Bio,2021,e3,0
Bio,2022,e3,0
Bio,2023,e3,0
Bio,2024,e3,0
Bio,2025,e3,0
Bio,2026,e3,0
Bio,2027,e3,0
Bio,2028,e3,0
Bio,2029,e3,0
Bio,2030,e3,0
Bio,2031,e3,0
Bio,2032,e3,0
Bio,2033,e3,0
Bio,2034,e3,0
Bio,2035,e3,0
Bio,2036,e3,0
Bio,2037,e3,0
Bio,2038,e3,0
Bio,2039,e3,0
Bio,2040,e3,0
Bio,2041,e3,0
Bio,2042,e3,0
Bio,2043,e3,0
Bio,2044,e3,0
Bio,2045,e3,159.65
DER,2016,e3,90.674616
DER,2017,e3,112.415216
DER,2018,e3,115.977216
DER,2019,e3,120.089216
DER,2020,e3,123.959116
DER,2021,e3,127.753116
DER,2022,e3,140.3447655
DER,2023,e3,154.476278
DER,2024,e3,168.6137905
DER,2025,e3,182.745303
DER,2026,e3,196.8768155
DER,2027,e3,211.008328
DER,2028,e3,225.1458405
DER,2029,e3,239.277353
DER,2030,e3,253.4088655
DER,2031,e3,267.5404455
DER,2032,e3,281.6779581
DER,2033,e3,295.809403
DER,2034,e3,309.9409156
DER,2035,e3,324.0724281
DER,2036,e3,338.2099406
DER,2037,e3,352.3414531
DER,2038,e3,366.4729656
DER,2039,e3,380.6044781
DER,2040,e3,394.7419906
DER,2041,e3,408.8735706
DER,2042,e3,423.0050831
DER,2043,e3,437.1365956
DER,2044,e3,451.2741081
DER,2045,e3,465.4056206
Fossil,2016,e3,232.7
Fossil,2017,e3,232.7
Fossil,2018,e3,232.7
Fossil,2019,e3,232.7
Fossil,2020,e3,183.7
Fossil,2021,e3,183.7
Fossil,2022,e3,183.7
Fossil,2023,e3,183.7
Fossil,2024,e3,183.7
Fossil,2025,e3,183.7
Fossil,2026,e3,183.7
Fossil,2027,e3,183.7
Fossil,2028,e3,183.7
Fossil,2029,e3,183.7
Fossil,2030,e3,183.7
Fossil,2031,e3,183.7
Fossil,2032,e3,183.7
Fossil,2033,e3,183.7
Fossil,2034,e3,183.7
Fossil,2035,e3,183.7
Fossil,2036,e3,183.7
Fossil,2037,e3,183.7
Fossil,2038,e3,183.7
Fossil,2039,e3,183.7
Fossil,2040,e3,159.65
Fossil,2041,e3,159.65
Fossil,2042,e3,159.65
Fossil,2043,e3,159.65
Fossil,2044,e3,159.65
Fossil,2045,e3,0
PV,2016,e3,0
PV,2017,e3,0
PV,2018,e3,1
PV,2019,e3,1
PV,2020,e3,1
PV,2021,e3,1
PV,2022,e3,1
PV,2023,e3,1
PV,2024,e3,1
PV,2025,e3,1
PV,2026,e3,1
PV,2027,e3,1
PV,2028,e3,1
PV,2029,e3,1
PV,2030,e3,1
PV,2031,e3,1
PV,2032,e3,1
PV,2033,e3,1
PV,2034,e3,1
PV,2035,e3,1
PV,2036,e3,1
PV,2037,e3,1
PV,2038,e3,1
PV,2039,e3,1
PV,2040,e3,1
PV,2041,e3,1
PV,2042,e3,1
PV,2043,e3,1
PV,2044,e3,1
PV,2045,e3,1
Wind,2016,e3,34.5
Wind,2017,e3,34.5
Wind,2018,e3,36.5
Wind,2019,e3,36.5
Wind,2020,e3,56.5
Wind,2021,e3,56.5
Wind,2022,e3,106.5
Wind,2023,e3,106.5
Wind,2024,e3,106.5
Wind,2025,e3,106.5
Wind,2026,e3,106.5
Wind,2027,e3,106.5
Wind,2028,e3,106.5
Wind,2029,e3,106.5
Wind,2030,e3,106.5
Wind,2031,e3,106.5
Wind,2032,e3,106.5
