year,technology,value,scenario
2016,PV,13.62840213,PostApril
2017,PV,265.5660197,PostApril
2018,PV,602.3725967,PostApril
2019,PV,374.4444126,PostApril
2020,PV,75.71888766,PostApril
2021,PV,69.60370275,PostApril
2022,PV,264.7981908,PostApril
2023,PV,785.4064501,PostApril
2024,PV,2369.050517,PostApril
2025,PV,6429.06195,PostApril
2026,PV,10563.54149,PostApril
2027,PV,17750.59995,PostApril
2028,PV,25833.01522,PostApril
2029,PV,34850.51026,PostApril
2030,PV,50462.65599,PostApril
2031,PV,57479.10578,PostApril
2032,PV,67202.17233,PostApril
2033,PV,74262.36195,PostApril
2034,PV,80681.38913,PostApril
2035,PV,86988.93435,PostApril
2036,PV,93299.2863,PostApril
2037,PV,98712.02556,PostApril
2038,PV,104780.0523,PostApril
2039,PV,110149.4903,PostApril
2040,PV,115580.4612,PostApril
2041,PV,120645.1706,PostApril
2042,PV,126050.6654,PostApril
2043,PV,130998.7971,PostApril
2044,PV,135722.0219,PostApril
2045,PV,140510.7498,PostApril
2016,Wind,56.53817202,PostApril
2017,Wind,653.6370096,PostApril
2018,Wind,953.5587473,PostApril
2019,Wind,650.9692452,PostApril
2020,Wind,5787.981629,PostApril
2021,Wind,5910.395613,PostApril
2022,Wind,8582.113764,PostApril
2023,Wind,10943.30461,PostApril
2024,Wind,15301.0357,PostApril
2025,Wind,37300.73321,PostApril
2026,Wind,39757.09649,PostApril
2027,Wind,45503.40909,PostApril
2028,Wind,43206.42721,PostApril
2029,Wind,46833.45007,PostApril
2030,Wind,158125.534,PostApril
2031,Wind,162443.462,PostApril
2032,Wind,167651.3159,PostApril
2033,Wind,171942.3697,PostApril
2034,Wind,168343.4092,PostApril
2035,Wind,169997.4661,PostApril
2036,Wind,173606.9746,PostApril
2037,Wind,174176.4448,PostApril
2038,Wind,174136.892,PostApril
2039,Wind,176276.5047,PostApril
2040,Wind,175693.4895,PostApril
2041,Wind,174954.3804,PostApril
2042,Wind,175174.1497,PostApril
2043,Wind,175270.6442,PostApril
2044,Wind,177749.4544,PostApril
2045,Wind,171778.7038,PostApril
2016,Hydro,0,PostApril
2017,Hydro,0,PostApril
2018,Hydro,0,PostApril
2019,Hydro,0,PostApril
2020,Hydro,0,PostApril
2021,Hydro,0,PostApril
2022,Hydro,0,PostApril
2023,Hydro,0,PostApril
2024,Hydro,0.0343486,PostApril
2025,Hydro,19.25989958,PostApril
2026,Hydro,45.55567867,PostApril
2027,Hydro,100.6109759,PostApril
2028,Hydro,116.1264173,PostApril
2029,Hydro,232.217601,PostApril
2030,Hydro,934.3945551,PostApril
2031,Hydro,1033.265106,PostApril
2032,Hydro,1500.542541,PostApril
2033,Hydro,1923.757065,PostApril
2034,Hydro,2030.704616,PostApril
2035,Hydro,2205.28917,PostApril
2036,Hydro,2415.615586,PostApril
2037,Hydro,2441.562019,PostApril
2038,Hydro,2618.102995,PostApril
2039,Hydro,2922.025898,PostApril
2040,Hydro,2990.390939,PostApril
2041,Hydro,3256.560744,PostApril
2042,Hydro,3071.201011,PostApril
2043,Hydro,3215.978923,PostApril
2044,Hydro,3409.440269,PostApril
2045,Hydro,3643.11214,PostApril
2016,PV,12.82989727,E3
2017,PV,265.1898555,E3
2018,PV,622.8607852,E3
2019,PV,363.8894214,E3
2020,PV,0,E3
2021,PV,4.01959155,E3
2022,PV,6.15162917,E3
2023,PV,92.56967255,E3
2024,PV,360.9920681,E3
2025,PV,260.6295605,E3
2026,PV,895.8163162,E3
2027,PV,2202.803003,E3
2028,PV,4656.784381,E3
2029,PV,8348.228575,E3
2030,PV,2170.68978,E3
2031,PV,2435.501667,E3
2032,PV,3923.850265,E3
2033,PV,4150.268127,E3
2034,PV,5316.475055,E3
2035,PV,3477.983496,E3
2036,PV,3843.162736,E3
2037,PV,4659.252684,E3
2038,PV,5602.795027,E3
2039,PV,7656.799246,E3
2040,PV,2523.942829,E3
2041,PV,2428.316777,E3
2042,PV,2860.240997,E3
2043,PV,3403.034585,E3
2044,PV,3514.916712,E3
2045,PV,3753.079083,E3
2016,Wind,51.71181299,E3
2017,Wind,623.9310978,E3
2018,Wind,953.8722178,E3
2019,Wind,623.0310603,E3
2020,Wind,1242.166045,E3
2021,Wind,1294.855799,E3
2022,Wind,86992.2476,E3
2023,Wind,88673.37887,E3
2024,Wind,99721.96367,E3
2025,Wind,91727.59039,E3
2026,Wind,103611.331,E3
2027,Wind,116045.6883,E3
2028,Wind,115345.4619,E3
2029,Wind,123604.0899,E3
2030,Wind,84912.9535,E3
2031,Wind,92059.22213,E3
2032,Wind,99872.1895,E3
2033,Wind,110377.2251,E3
2034,Wind,107741.6898,E3
2035,Wind,98179.35201,E3
2036,Wind,104131.7035,E3
2037,Wind,105697.6705,E3
2038,Wind,107248.4396,E3
2039,Wind,115078.3084,E3
2040,Wind,97306.59614,E3
2041,Wind,100665.2323,E3
2042,Wind,103360.2703,E3
2043,Wind,103749.8814,E3
2044,Wind,111598.2582,E3
2045,Wind,204677.1459,E3
2016,Hydro,0,E3
2017,Hydro,0,E3
2018,Hydro,0,E3
2019,Hydro,0,E3
2020,Hydro,0,E3
2021,Hydro,0,E3
2022,Hydro,0,E3
2023,Hydro,0,E3
2024,Hydro,0,E3
2025,Hydro,0,E3
2026,Hydro,0,E3
2027,Hydro,0,E3
2028,Hydro,0,E3
2029,Hydro,0,E3
2030,Hydro,0,E3
2031,Hydro,0,E3
2032,Hydro,0.77393842,E3
2033,Hydro,0,E3
2034,Hydro,0,E3
2035,Hydro,0,E3
2036,Hydro,0,E3
2037,Hydro,2.82208923,E3
2038,Hydro,0,E3
2039,Hydro,0,E3
2040,Hydro,0,E3
2041,Hydro,0.69856656,E3
2042,Hydro,0,E3
2043,Hydro,3.47395489,E3
2044,Hydro,0,E3
2045,Hydro,6.19931275,E3
