year,technology,value,scenario
2016,Bio,0,e3
2017,Bio,0,e3
2018,Bio,0,e3
2019,Bio,0,e3
2020,Bio,0,e3
2021,Bio,0,e3
2022,Bio,0,e3
2023,Bio,0,e3
2024,Bio,0,e3
2025,Bio,0,e3
2026,Bio,0,e3
2027,Bio,0,e3
2028,Bio,0,e3
2029,Bio,0,e3
2030,Bio,0,e3
2031,Bio,0,e3
2032,Bio,0,e3
2033,Bio,0,e3
2034,Bio,0,e3
2035,Bio,0,e3
2036,Bio,0,e3
2037,Bio,0,e3
2038,Bio,0,e3
2039,Bio,0,e3
2040,Bio,13.82,e3
2041,Bio,139.75,e3
2042,Bio,48.59,e3
2043,Bio,14.25,e3
2044,Bio,16.28,e3
2045,Bio,89358.38,e3
2016,DER,134782.42,e3
2017,DER,160616.89,e3
2018,DER,172139.71,e3
2019,DER,178464.5,e3
2020,DER,184968.08,e3
2021,DER,190074.43,e3
2022,DER,208713.22,e3
2023,DER,229556.83,e3
2024,DER,250935.19,e3
2025,DER,271265.92,e3
2026,DER,291569.76,e3
2027,DER,311229.46,e3
2028,DER,330693.52,e3
2029,DER,347019.25,e3
2030,DER,374060.76,e3
2031,DER,394734.76,e3
2032,DER,415417.03,e3
2033,DER,434929.28,e3
2034,DER,454720.69,e3
2035,DER,477426.45,e3
2036,DER,499475.75,e3
2037,DER,518135.42,e3
2038,DER,538166.16,e3
2039,DER,557097.95,e3
2040,DER,584697.62,e3
2041,DER,604023.82,e3
2042,DER,624535.6,e3
2043,DER,644929.21,e3
2044,DER,667736.61,e3
2045,DER,686413.62,e3
2016,Fossil,617225.24,e3
2017,Fossil,574518.41,e3
2018,Fossil,554960.41,e3
2019,Fossil,560593.25,e3
2020,Fossil,470753.68,e3
2021,Fossil,471256.08,e3
2022,Fossil,327571.63,e3
2023,Fossil,319246.91,e3
2024,Fossil,310901.73,e3
2025,Fossil,281893.23,e3
2026,Fossil,269013.71,e3
2027,Fossil,259164.14,e3
2028,Fossil,246534.54,e3
2029,Fossil,229653.12,e3
2030,Fossil,160308.37,e3
2031,Fossil,154717.69,e3
2032,Fossil,143678.58,e3
2033,Fossil,142806.43,e3
2034,Fossil,144434.61,e3
2035,Fossil,128094.45,e3
2036,Fossil,129609.31,e3
2037,Fossil,126654.19,e3
2038,Fossil,131117.66,e3
2039,Fossil,134759.49,e3
2040,Fossil,119437.91,e3
2041,Fossil,120237.76,e3
2042,Fossil,118368.03,e3
2043,Fossil,117940.25,e3
2044,Fossil,125260.21,e3
2045,Fossil,0,e3
2016,Geo,278952.39,e3
2017,Geo,289473.35,e3
2018,Geo,295770.98,e3
2019,Geo,296368.35,e3
2020,Geo,299375.27,e3
2021,Geo,300382.15,e3
2022,Geo,277778.46,e3
2023,Geo,278470.68,e3
2024,Geo,278846.74,e3
2025,Geo,275122.49,e3
2026,Geo,276526.47,e3
2027,Geo,277139.95,e3
2028,Geo,261464.15,e3
2029,Geo,259914.51,e3
2030,Geo,264673.84,e3
2031,Geo,257725,e3
2032,Geo,263344.11,e3
2033,Geo,259417.77,e3
2034,Geo,258496.05,e3
2035,Geo,262560.11,e3
2036,Geo,259606.98,e3
2037,Geo,259994.72,e3
2038,Geo,259536.98,e3
2039,Geo,259128.79,e3
2040,Geo,260626.05,e3
2041,Geo,260509.52,e3
2042,Geo,259853.64,e3
2043,Geo,258465.99,e3
2044,Geo,259070.77,e3
2045,Geo,252019.63,e3
2016,Hydro,42516.26,e3
2017,Hydro,42476.68,e3
