technology,year,scenario,value
Bio,2016,postapril,180.65
Bio,2017,postapril,188.65
Bio,2018,postapril,100.92
Bio,2019,postapril,100.92
Bio,2020,postapril,100.92
Bio,2021,postapril,100.92
Bio,2022,postapril,100.92
Bio,2023,postapril,100.92
Bio,2024,postapril,100.92
Bio,2025,postapril,100.92
Bio,2026,postapril,100.92
Bio,2027,postapril,100.92
Bio,2028,postapril,100.92
Bio,2029,postapril,100.92
Bio,2030,postapril,100.92
Bio,2031,postapril,100.92
Bio,2032,postapril,100.92
Bio,2033,postapril,100.92
Bio,2034,postapril,100.92
Bio,2035,postapril,100.92
Bio,2036,postapril,100.92
Bio,2037,postapril,100.92
Bio,2038,postapril,100.92
Bio,2039,postapril,100.92
Bio,2040,postapril,100.92
Bio,2041,postapril,100.92
Bio,2042,postapril,100.92
Bio,2043,postapril,100.92
Bio,2044,postapril,100.92
Bio,2045,postapril,1476.84
DER,2016,postapril,425.4
DER,2017,postapril,501.5
DER,2018,postapril,542.6
DER,2019,postapril,588.2
DER,2020,postapril,628.7
DER,2021,postapril,684.3
DER,2022,postapril,712.3
DER,2023,postapril,765.4
DER,2024,postapril,827.1
DER,2025,postapril,888.9
DER,2026,postapril,950.6
DER,2027,postapril,1012.4
DER,2028,postapril,1074.1
DER,2029,postapril,1135.9
DER,2030,postapril,1197.6
DER,2031,postapril,1259.4
DER,2032,postapril,1321.1
DER,2033,postapril,1382.8
DER,2034,postapril,1444.6
DER,2035,postapril,1506.3
DER,2036,postapril,1568.1
DER,2037,postapril,1629.8
DER,2038,postapril,1691.6
DER,2039,postapril,1753.3
DER,2040,postapril,1815.1
DER,2041,postapril,1876.8
DER,2042,postapril,1938.6
DER,2043,postapril,2000.3
DER,2044,postapril,2062.1
DER,2045,postapril,2123.8
Fossil,2016,postapril,1318.10
Fossil,2017,postapril,1327.10
Fossil,2018,postapril,1481.52
Fossil,2019,postapril,1631.52
Fossil,2020,postapril,1631.52
Fossil,2021,postapril,1631.52
Fossil,2022,postapril,1732.24
Fossil,2023,postapril,1504.71
Fossil,2024,postapril,1504.71
Fossil,2025,postapril,1521.93
Fossil,2026,postapril,1521.93
Fossil,2027,postapril,1508.54
Fossil,2028,postapril,1508.54
Fossil,2029,postapril,1508.54
Fossil,2030,postapril,1416.67
Fossil,2031,postapril,1416.67
Fossil,2032,postapril,1398.18
Fossil,2033,postapril,1398.18
Fossil,2034,postapril,1377.72
Fossil,2035,postapril,1377.72
Fossil,2036,postapril,1377.72
Fossil,2037,postapril,1377.72
Fossil,2038,postapril,1377.72
Fossil,2039,postapril,1377.72
Fossil,2040,postapril,1377.72
Fossil,2041,postapril,1377.72
Fossil,2042,postapril,1377.72
Fossil,2043,postapril,1377.72
Fossil,2044,postapril,1377.72
Fossil,2045,postapril,0.00
PV,2016,postapril,11.00
PV,2017,postapril,58.60
PV,2018,postapril,183.20
PV,2019,postapril,203.20
PV,2020,postapril,383.20
