year,technology,value,scenario
2016,Bio,413843.96,e3
2017,Bio,426632.61,e3
2018,Bio,436839.49,e3
2019,Bio,455020.21,e3
2020,Bio,435852.02,e3
2021,Bio,448548.01,e3
2022,Bio,506410.4,e3
2023,Bio,532019.25,e3
2024,Bio,512190.16,e3
2025,Bio,502954.7,e3
2026,Bio,501592.28,e3
2027,Bio,501345.3,e3
2028,Bio,500995.33,e3
2029,Bio,498814.92,e3
2030,Bio,493626.83,e3
2031,Bio,497320.73,e3
2032,Bio,502970.58,e3
2033,Bio,501034.42,e3
2034,Bio,499970.16,e3
2035,Bio,505413.85,e3
2036,Bio,504610.99,e3
2037,Bio,508710.78,e3
2038,Bio,509094.84,e3
2039,Bio,510645.31,e3
2040,Bio,497781.59,e3
2041,Bio,496283.02,e3
2042,Bio,494298.35,e3
2043,Bio,496876.34,e3
2044,Bio,495228.64,e3
2045,Bio,741534.27,e3
2016,DER,688576.11,e3
2017,DER,810304.55,e3
2018,DER,876663.9,e3
2019,DER,950109.15,e3
2020,DER,1018121.75,e3
2021,DER,1105014.34,e3
2022,DER,1150154.56,e3
2023,DER,1235791.53,e3
2024,DER,1339005.41,e3
2025,DER,1434900.73,e3
2026,DER,1534460.73,e3
2027,DER,1634010.16,e3
2028,DER,1738341.13,e3
2029,DER,1833110.59,e3
2030,DER,1932686.1,e3
2031,DER,2032236.2,e3
2032,DER,2137687.08,e3
2033,DER,2231334.66,e3
2034,DER,2330895.78,e3
2035,DER,2430445.43,e3
2036,DER,2537025.97,e3
2037,DER,2629575.04,e3
2038,DER,2729123.82,e3
2039,DER,2828679.48,e3
2040,DER,2936299.35,e3
2041,DER,3027789.61,e3
2042,DER,3127339.96,e3
2043,DER,3226884.75,e3
2044,DER,3335649.25,e3
2045,DER,3425677.44,e3
2016,Fossil,6277693.1,e3
2017,Fossil,6191494.04,e3
2018,Fossil,5864511.8,e3
2019,Fossil,5806569.9,e3
2020,Fossil,5379583.01,e3
2021,Fossil,5269541.92,e3
2022,Fossil,5062957.06,e3
2023,Fossil,4919997.3,e3
2024,Fossil,4820781.25,e3
2025,Fossil,3291008.88,e3
2026,Fossil,3178405.18,e3
2027,Fossil,3064651.3,e3
2028,Fossil,2966763.29,e3
2029,Fossil,2818690.38,e3
2030,Fossil,2709436.56,e3
2031,Fossil,2632636.96,e3
2032,Fossil,2626216.64,e3
2033,Fossil,2594213.27,e3
2034,Fossil,2582957.39,e3
2035,Fossil,2566488.57,e3
