technology,year,scenario,value
Bio,2016,postapril,0
Bio,2017,postapril,0
Bio,2018,postapril,0
Bio,2019,postapril,0
Bio,2020,postapril,0
Bio,2021,postapril,0
Bio,2022,postapril,20
Bio,2023,postapril,20
Bio,2024,postapril,20
Bio,2025,postapril,20
Bio,2026,postapril,20
Bio,2027,postapril,20
Bio,2028,postapril,20
Bio,2029,postapril,20
Bio,2030,postapril,20
Bio,2031,postapril,20
Bio,2032,postapril,20
Bio,2033,postapril,20
Bio,2034,postapril,20
Bio,2035,postapril,20
Bio,2036,postapril,20
Bio,2037,postapril,20
Bio,2038,postapril,20
Bio,2039,postapril,20
Bio,2040,postapril,60
Bio,2041,postapril,60
Bio,2042,postapril,60
Bio,2043,postapril,60
Bio,2044,postapril,60
Bio,2045,postapril,284.763085
DER,2016,postapril,103.44863027
DER,2017,postapril,121.73630487
DER,2018,postapril,125.61830487
DER,2019,postapril,132.59562727
DER,2020,postapril,139.29462727
DER,2021,postapril,143.57662727
DER,2022,postapril,149.92024727
DER,2023,postapril,159.31922357
DER,2024,postapril,172.13604937
DER,2025,postapril,184.95881097
DER,2026,postapril,197.78850847
DER,2027,postapril,210.61127666
DER,2028,postapril,223.43403836
DER,2029,postapril,236.26379996
DER,2030,postapril,249.08662566
DER,2031,postapril,261.90932316
DER,2032,postapril,274.73208486
DER,2033,postapril,287.56184646
DER,2034,postapril,300.38460806
DER,2035,postapril,313.20736966
DER,2036,postapril,326.03719546
DER,2037,postapril,338.85389296
DER,2038,postapril,351.67665456
DER,2039,postapril,364.49941616
DER,2040,postapril,377.32917786
DER,2041,postapril,390.15193946
DER,2042,postapril,402.97476516
DER,2043,postapril,415.80446266
DER,2044,postapril,428.62722436
DER,2045,postapril,441.44998596
Fossil,2016,postapril,238.913085
Fossil,2017,postapril,238.913085
Fossil,2018,postapril,238.913085
Fossil,2019,postapril,238.913085
Fossil,2020,postapril,238.913085
Fossil,2021,postapril,238.913085
Fossil,2022,postapril,257.233085
Fossil,2023,postapril,224.763085
Fossil,2024,postapril,224.763085
Fossil,2025,postapril,224.763085
Fossil,2026,postapril,224.763085
Fossil,2027,postapril,224.763085
Fossil,2028,postapril,224.763085
Fossil,2029,postapril,224.763085
Fossil,2030,postapril,224.763085
Fossil,2031,postapril,224.763085
Fossil,2032,postapril,224.763085
Fossil,2033,postapril,224.763085
Fossil,2034,postapril,224.763085
Fossil,2035,postapril,224.763085
Fossil,2036,postapril,224.763085
Fossil,2037,postapril,224.763085
Fossil,2038,postapril,224.763085
Fossil,2039,postapril,224.763085
Fossil,2040,postapril,224.763085
Fossil,2041,postapril,224.763085
Fossil,2042,postapril,224.763085
Fossil,2043,postapril,224.763085
Fossil,2044,postapril,224.763085
Fossil,2045,postapril,0
PV,2016,postapril,0
PV,2017,postapril,5.74
PV,2018,postapril,6.74
PV,2019,postapril,6.74
PV,2020,postapril,86.74
PV,2021,postapril,86.74
PV,2022,postapril,86.74
PV,2023,postapril,86.74
PV,2024,postapril,86.74
PV,2025,postapril,86.74
PV,2026,postapril,86.74
PV,2027,postapril,86.74
PV,2028,postapril,86.74
PV,2029,postapril,86.74
PV,2030,postapril,86.74
PV,2031,postapril,86.74
PV,2032,postapril,86.74
PV,2033,postapril,86.74
PV,2034,postapril,86.74
PV,2035,postapril,86.74
PV,2036,postapril,86.74
PV,2037,postapril,86.74
PV,2038,postapril,86.74
PV,2039,postapril,86.74
PV,2040,postapril,86.74
PV,2041,postapril,86.74
PV,2042,postapril,86.74
PV,2043,postapril,86.74
PV,2044,postapril,86.74
PV,2045,postapril,86.74
Wind,2016,postapril,72
Wind,2017,postapril,72
Wind,2018,postapril,74
Wind,2019,postapril,74
Wind,2020,postapril,164
Wind,2021,postapril,164
Wind,2022,postapril,164
Wind,2023,postapril,164
Wind,2024,postapril,164
Wind,2025,postapril,164
Wind,2026,postapril,164
Wind,2027,postapril,164
Wind,2028,postapril,164
Wind,2029,postapril,164
Wind,2030,postapril,164
Wind,2031,postapril,164
Wind,2032,postapril,164
Wind,2033,postapril,164
Wind,2034,postapril,164
Wind,2035,postapril,164
Wind,2036,postapril,164
Wind,2037,postapril,164
Wind,2038,postapril,164
Wind,2039,postapril,164
Wind,2040,postapril,164
Wind,2041,postapril,164
Wind,2042,postapril,164
Wind,2043,postapril,164
Wind,2044,postapril,164
Wind,2045,postapril,164
Geo,2016,postapril,0
Geo,2017,postapril,0
Geo,2018,postapril,0
Geo,2019,postapril,0
Geo,2020,postapril,0
Geo,2021,postapril,0
Geo,2022,postapril,0
Geo,2023,postapril,0
Geo,2024,postapril,0
Geo,2025,postapril,0
Geo,2026,postapril,0
Geo,2027,postapril,0
Geo,2028,postapril,0
Geo,2029,postapril,0
Geo,2030,postapril,40
Geo,2031,postapril,40
Geo,2032,postapril,40
Geo,2033,postapril,40
Geo,2034,postapril,40
Geo,2035,postapril,40
Geo,2036,postapril,40
Geo,2037,postapril,40
Geo,2038,postapril,40
Geo,2039,postapril,40
Geo,2040,postapril,40
Geo,2041,postapril,40
Geo,2042,postapril,40
Geo,2043,postapril,40
Geo,2044,postapril,40
Geo,2045,postapril,40
Hydro,2016,postapril,0.5
Hydro,2017,postapril,0.5
Hydro,2018,postapril,0.5
Hydro,2019,postapril,0.5
Hydro,2020,postapril,0.5
Hydro,2021,postapril,0.5
Hydro,2022,postapril,0.5
Hydro,2023,postapril,0.5
Hydro,2024,postapril,0.5
Hydro,2025,postapril,0.5
Hydro,2026,postapril,0.5
Hydro,2027,postapril,0.5
Hydro,2028,postapril,0.5
Hydro,2029,postapril,0.5
Hydro,2030,postapril,0.5
Hydro,2031,postapril,0.5
Hydro,2032,postapril,0.5
Hydro,2033,postapril,0.5
Hydro,2034,postapril,0.5
Hydro,2035,postapril,0.5
Hydro,2036,postapril,0.5
Hydro,2037,postapril,0.5
Hydro,2038,postapril,0.5
Hydro,2039,postapril,0.5
Hydro,2040,postapril,0.5
Hydro,2041,postapril,0.5
Hydro,2042,postapril,0.5
Hydro,2043,postapril,0.5
Hydro,2044,postapril,0.5
Hydro,2045,postapril,0.5
Bio,2016,e3,0
Bio,2017,e3,0
Bio,2018,e3,0
Bio,2019,e3,0
Bio,2020,e3,0
Bio,2021,e3,0
Bio,2022,e3,40
Bio,2023,e3,40
Bio,2024,e3,40
Bio,2025,e3,40
Bio,2026,e3,40
Bio,2027,e3,40
Bio,2028,e3,40
Bio,2029,e3,40
Bio,2030,e3,40
Bio,2031,e3,40
Bio,2032,e3,40
Bio,2033,e3,40
Bio,2034,e3,40
Bio,2035,e3,40
Bio,2036,e3,40
Bio,2037,e3,40
Bio,2038,e3,40
Bio,2039,e3,40
Bio,2040,e3,40
Bio,2041,e3,40
Bio,2042,e3,40
Bio,2043,e3,40
Bio,2044,e3,40
Bio,2045,e3,182.403085
DER,2016,e3,103.44863027
DER,2017,e3,121.73630487
DER,2018,e3,125.61830487
DER,2019,e3,132.59562727
DER,2020,e3,139.29462727
DER,2021,e3,143.57662727
DER,2022,e3,149.92024727
DER,2023,e3,159.31922357
DER,2024,e3,172.13604937
DER,2025,e3,184.95881097
DER,2026,e3,197.78850847
DER,2027,e3,210.61127666
DER,2028,e3,223.43403836
DER,2029,e3,236.26379996
DER,2030,e3,249.08662566
DER,2031,e3,261.90932316
DER,2032,e3,274.73208486
DER,2033,e3,287.56184646
DER,2034,e3,300.38460806
DER,2035,e3,313.20736966
DER,2036,e3,326.03719546
DER,2037,e3,338.85389296
DER,2038,e3,351.67665456
DER,2039,e3,364.49941616
DER,2040,e3,377.32917786
DER,2041,e3,390.15193946
DER,2042,e3,402.97476516
DER,2043,e3,415.80446266
DER,2044,e3,428.62722436
DER,2045,e3,441.44998596
Fossil,2016,e3,238.91
Fossil,2017,e3,238.91
Fossil,2018,e3,238.91
Fossil,2019,e3,238.91
Fossil,2020,e3,238.91
Fossil,2021,e3,238.91
Fossil,2022,e3,257.23
Fossil,2023,e3,224.76
Fossil,2024,e3,224.76
Fossil,2025,e3,224.76
Fossil,2026,e3,224.76
Fossil,2027,e3,224.76
Fossil,2028,e3,224.76
Fossil,2029,e3,224.76
Fossil,2030,e3,224.76
Fossil,2031,e3,224.76
Fossil,2032,e3,224.76
Fossil,2033,e3,224.76
Fossil,2034,e3,224.76
Fossil,2035,e3,224.76
Fossil,2036,e3,224.76
Fossil,2037,e3,224.76
Fossil,2038,e3,224.76
Fossil,2039,e3,224.76
Fossil,2040,e3,224.76
Fossil,2041,e3,224.76
Fossil,2042,e3,224.76
Fossil,2043,e3,224.76
Fossil,2044,e3,224.76
Fossil,2045,e3,0.00
PV,2016,e3,0
PV,2017,e3,5.74
PV,2018,e3,6.74
PV,2019,e3,6.74
PV,2020,e3,6.74
PV,2021,e3,6.74
PV,2022,e3,6.74
PV,2023,e3,6.74
PV,2024,e3,6.74
PV,2025,e3,6.74
PV,2026,e3,6.74
PV,2027,e3,6.74
PV,2028,e3,6.74
PV,2029,e3,6.74
PV,2030,e3,6.74
PV,2031,e3,6.74
PV,2032,e3,6.74
PV,2033,e3,6.74
PV,2034,e3,6.74
PV,2035,e3,6.74
PV,2036,e3,6.74
PV,2037,e3,6.74
PV,2038,e3,6.74
PV,2039,e3,6.74
PV,2040,e3,6.74
PV,2041,e3,6.74
PV,2042,e3,6.74
PV,2043,e3,6.74
PV,2044,e3,6.74
PV,2045,e3,76.74
Wind,2016,e3,72
Wind,2017,e3,72
Wind,2018,e3,74
Wind,2019,e3,74
Wind,2020,e3,134
Wind,2021,e3,134
Wind,2022,e3,134
Wind,2023,e3,134
Wind,2024,e3,134
Wind,2025,e3,134
