year,technology,value,scenario
2016,PV,566.6464638,PostApril
2017,PV,1705.715469,PostApril
2018,PV,2013.573406,PostApril
2019,PV,1753.262659,PostApril
2020,PV,119190.6751,PostApril
2021,PV,121231.7885,PostApril
2022,PV,92075.35752,PostApril
2023,PV,92625.01488,PostApril
2024,PV,94657.1071,PostApril
2025,PV,99870.07752,PostApril
2026,PV,101475.3726,PostApril
2027,PV,109547.5474,PostApril
2028,PV,115594.0844,PostApril
2029,PV,127296.0388,PostApril
2030,PV,140443.2626,PostApril
2031,PV,147969.0998,PostApril
2032,PV,152940.155,PostApril
2033,PV,156816.8903,PostApril
2034,PV,159541.7389,PostApril
2035,PV,161870.1028,PostApril
2036,PV,162366.6225,PostApril
2037,PV,145856.3209,PostApril
2038,PV,148848.7513,PostApril
2039,PV,153610.0236,PostApril
2040,PV,170859.6092,PostApril
2041,PV,168502.2678,PostApril
2042,PV,172559.7911,PostApril
2043,PV,174448.0397,PostApril
2044,PV,181300.4098,PostApril
2045,PV,186203.4957,PostApril
2016,Wind,3812.869504,PostApril
2017,Wind,1331.205327,PostApril
2018,Wind,1576.838426,PostApril
2019,Wind,1335.774529,PostApril
2020,Wind,151648.631,PostApril
2021,Wind,150669.0887,PostApril
2022,Wind,76349.95124,PostApril
2023,Wind,62408.0892,PostApril
2024,Wind,70412.96926,PostApril
2025,Wind,73216.01571,PostApril
2026,Wind,77286.51942,PostApril
2027,Wind,85583.97447,PostApril
2028,Wind,91518.20381,PostApril
2029,Wind,105819.4532,PostApril
2030,Wind,139567.3246,PostApril
2031,Wind,148619.2228,PostApril
2032,Wind,157519.1782,PostApril
2033,Wind,153003.024,PostApril
2034,Wind,150972.9632,PostApril
2035,Wind,153173.2233,PostApril
2036,Wind,155561.6883,PostApril
2037,Wind,139817.2347,PostApril
2038,Wind,138693.8764,PostApril
2039,Wind,139072.663,PostApril
2040,Wind,175103.0458,PostApril
2041,Wind,172478.5515,PostApril
2042,Wind,175303.0927,PostApril
2043,Wind,175936.6146,PostApril
2044,Wind,174670.976,PostApril
2045,Wind,171767.2787,PostApril
2016,Hydro,3373.6,PostApril
2017,Hydro,3361.6,PostApril
2018,Hydro,3361.6,PostApril
2019,Hydro,3361.6,PostApril
2020,Hydro,3373.6,PostApril
2021,Hydro,3361.6,PostApril
2022,Hydro,3361.6,PostApril
2023,Hydro,3361.6,PostApril
2024,Hydro,3373.6,PostApril
2025,Hydro,3361.6,PostApril
2026,Hydro,3361.6,PostApril
2027,Hydro,3361.6,PostApril
2028,Hydro,3373.6,PostApril
2029,Hydro,3361.6,PostApril
2030,Hydro,3361.6,PostApril
2031,Hydro,3361.6,PostApril
2032,Hydro,3373.6,PostApril
2033,Hydro,3361.6,PostApril
2034,Hydro,3361.6,PostApril
2035,Hydro,3361.6,PostApril
2036,Hydro,3373.6,PostApril
2037,Hydro,3361.6,PostApril
2038,Hydro,3361.6,PostApril
2039,Hydro,3361.6,PostApril
2040,Hydro,3373.6,PostApril
2041,Hydro,3361.6,PostApril
2042,Hydro,3361.6,PostApril
2043,Hydro,3361.6,PostApril
2044,Hydro,3373.6,PostApril
2045,Hydro,3361.6,PostApril
2016,PV,549.7476602,E3
2017,PV,1787.877353,E3
2018,PV,2044.95003,E3
2019,PV,1757.367992,E3
2020,PV,1577.812446,E3
2021,PV,2020.584983,E3
2022,PV,1112.262343,E3
2023,PV,1214.072832,E3
2024,PV,2300.999678,E3
2025,PV,2314.693779,E3
2026,PV,3145.794302,E3
2027,PV,4565.639703,E3
2028,PV,5635.968246,E3
2029,PV,8306.617427,E3
2030,PV,3685.742839,E3
2031,PV,5544.260168,E3
2032,PV,6303.450764,E3
2033,PV,6959.161909,E3
2034,PV,8160.778711,E3
2035,PV,6209.325107,E3
2036,PV,6390.26823,E3
2037,PV,6986.724837,E3
2038,PV,7597.094966,E3
2039,PV,8760.463326,E3
2040,PV,3723.827911,E3
2041,PV,4396.375182,E3
2042,PV,4732.385248,E3
2043,PV,5400.222595,E3
2044,PV,6396.758312,E3
2045,PV,56992.5867,E3
2016,Wind,3659.921193,E3
2017,Wind,1362.824741,E3
2018,Wind,1634.404934,E3
2019,Wind,1280.00827,E3
2020,Wind,75781.52838,E3
2021,Wind,75188.17984,E3
2022,Wind,52979.08986,E3
2023,Wind,52397.49596,E3
2024,Wind,58351.12726,E3
2025,Wind,53611.45025,E3
2026,Wind,58086.2517,E3
2027,Wind,64158.45393,E3
2028,Wind,69959.94043,E3
2029,Wind,82583.36324,E3
2030,Wind,60418.29635,E3
2031,Wind,67532.34927,E3
2032,Wind,73432.48508,E3
2033,Wind,75353.99616,E3
2034,Wind,74517.78945,E3
2035,Wind,65903.80176,E3
2036,Wind,65445.83303,E3
2037,Wind,70721.97804,E3
2038,Wind,69371.91966,E3
2039,Wind,74551.18806,E3
2040,Wind,67441.18252,E3
2041,Wind,71512.36038,E3
2042,Wind,70922.98563,E3
2043,Wind,70453.91844,E3
2044,Wind,71327.68447,E3
2045,Wind,49707.76404,E3
2016,Hydro,3373.6,E3
2017,Hydro,3361.6,E3
2018,Hydro,3361.6,E3
2019,Hydro,3361.6,E3
2020,Hydro,3373.6,E3
2021,Hydro,3361.6,E3
2022,Hydro,3361.6,E3
2023,Hydro,3361.6,E3
2024,Hydro,3373.6,E3
2025,Hydro,3361.6,E3
2026,Hydro,3361.6,E3
2027,Hydro,3361.6,E3
2028,Hydro,3373.6,E3
2029,Hydro,3361.6,E3
2030,Hydro,3361.6,E3
2031,Hydro,3361.6,E3
2032,Hydro,3373.6,E3
2033,Hydro,3361.6,E3
2034,Hydro,3361.6,E3
2035,Hydro,3361.6,E3
2036,Hydro,3373.6,E3
2037,Hydro,3361.6,E3
2038,Hydro,3361.6,E3
2039,Hydro,3361.6,E3
2040,Hydro,3373.6,E3
2041,Hydro,3361.6,E3
2042,Hydro,3361.6,E3
2043,Hydro,3361.6,E3
2044,Hydro,3373.6,E3
2045,Hydro,3361.6,E3
