year,technology,value,scenario
2016,Bio,0,e3
2017,Bio,0,e3
2018,Bio,0,e3
2019,Bio,0,e3
2020,Bio,0,e3
2021,Bio,0,e3
2022,Bio,231538.04,e3
2023,Bio,226532.35,e3
2024,Bio,231070.37,e3
2025,Bio,235224.49,e3
2026,Bio,233647.65,e3
2027,Bio,225131.45,e3
2028,Bio,228962.46,e3
2029,Bio,222584.28,e3
2030,Bio,225248.46,e3
2031,Bio,225127.72,e3
2032,Bio,222125.37,e3
2033,Bio,220027.89,e3
2034,Bio,224516.71,e3
2035,Bio,228935.34,e3
2036,Bio,226327.95,e3
2037,Bio,225910.67,e3
2038,Bio,223340.13,e3
2039,Bio,233805.35,e3
2040,Bio,198760.77,e3
2041,Bio,195137.52,e3
2042,Bio,194688.42,e3
2043,Bio,194851.81,e3
2044,Bio,196476.31,e3
2045,Bio,266888.43,e3
2016,DER,159120.79,e3
2017,DER,188718.8,e3
2018,DER,194873.07,e3
2019,DER,205895.74,e3
2020,DER,216937.22,e3
2021,DER,222860.22,e3
2022,DER,233084.88,e3
2023,DER,247701.74,e3
2024,DER,267993.76,e3
2025,DER,287321.14,e3
2026,DER,306996.89,e3
2027,DER,326466.5,e3
2028,DER,347010.86,e3
2029,DER,364845.3,e3
2030,DER,386803.35,e3
2031,DER,406004.63,e3
2032,DER,426941.77,e3
2033,DER,445369.05,e3
2034,DER,464948.28,e3
2035,DER,485715.64,e3
2036,DER,507024.14,e3
2037,DER,525361.74,e3
2038,DER,544988.52,e3
2039,DER,564422.47,e3
2040,DER,588249.23,e3
2041,DER,606283.04,e3
2042,DER,626211.01,e3
2043,DER,645893.46,e3
2044,DER,667399.24,e3
2045,DER,687523.13,e3
2016,Fossil,694693.29,e3
2017,Fossil,682496.89,e3
2018,Fossil,684667.42,e3
2019,Fossil,687729.43,e3
2020,Fossil,560196.53,e3
2021,Fossil,560250.12,e3
2022,Fossil,377013.08,e3
2023,Fossil,354455.23,e3
2024,Fossil,356321.36,e3
2025,Fossil,336566.33,e3
2026,Fossil,341228.45,e3
2027,Fossil,331858.44,e3
2028,Fossil,319397.6,e3
2029,Fossil,301074.64,e3
2030,Fossil,258891.6,e3
2031,Fossil,242304.34,e3
2032,Fossil,242483.44,e3
2033,Fossil,250059.17,e3
2034,Fossil,257402.23,e3
2035,Fossil,252023.31,e3
2036,Fossil,259775.66,e3
2037,Fossil,269808.23,e3
2038,Fossil,282099.31,e3
2039,Fossil,276230.82,e3
2040,Fossil,115451.6,e3
2041,Fossil,125856.39,e3
2042,Fossil,132543.02,e3
2043,Fossil,131114.62,e3
2044,Fossil,136292.16,e3
2045,Fossil,0,e3
2016,Geo,0,e3
2017,Geo,0,e3
2018,Geo,0,e3
2019,Geo,0,e3
2020,Geo,0,e3
2021,Geo,0,e3
2022,Geo,0,e3
2023,Geo,0,e3
2024,Geo,0,e3
2025,Geo,0,e3
2026,Geo,0,e3
2027,Geo,0,e3
2028,Geo,0,e3
2029,Geo,0,e3
2030,Geo,0,e3
2031,Geo,0,e3
2032,Geo,0,e3
2033,Geo,0,e3
2034,Geo,0,e3
2035,Geo,0,e3
2036,Geo,0,e3
2037,Geo,0,e3
2038,Geo,0,e3
2039,Geo,0,e3
2040,Geo,234279.52,e3
2041,Geo,238101.16,e3
2042,Geo,234419.69,e3
2043,Geo,240336.43,e3
2044,Geo,236293.79,e3
2045,Geo,203100.12,e3
2016,Hydro,1018.33,e3
2017,Hydro,1018.32,e3
2018,Hydro,1018.42,e3
