year,technology,value,scenario
2016,PV,0,postapril
2017,PV,0,postapril
2018,PV,0,postapril
2019,PV,304.1522275,postapril
2020,PV,4999.715243,postapril
2021,PV,39197.03801,postapril
2022,PV,123814.9714,postapril
2023,PV,150412.022,postapril
2024,PV,240162.4984,postapril
2025,PV,142854.5164,postapril
2026,PV,200332.0078,postapril
2027,PV,263335.953,postapril
2028,PV,347814.7874,postapril
2029,PV,417849.8779,postapril
2030,PV,65157.0641,postapril
2031,PV,100284.2066,postapril
2032,PV,109158.0751,postapril
2033,PV,152547.332,postapril
2034,PV,186488.6171,postapril
2035,PV,237141.9936,postapril
2036,PV,301213.2614,postapril
2037,PV,351511.5593,postapril
2038,PV,412927.2147,postapril
2039,PV,460407.8747,postapril
2040,PV,702250.3321,postapril
2041,PV,803939.4817,postapril
2042,PV,791998.7177,postapril
2043,PV,789250.4239,postapril
2044,PV,808337.5003,postapril
2045,PV,1262039.713,postapril
2016,Wind,0,postapril
2017,Wind,0,postapril
2018,Wind,0,postapril
2019,Wind,2,postapril
2020,Wind,1127.294348,postapril
2021,Wind,4922.250924,postapril
2022,Wind,10084.74072,postapril
2023,Wind,10216.93357,postapril
2024,Wind,12482.0926,postapril
2025,Wind,11517.60163,postapril
2026,Wind,14088.87796,postapril
2027,Wind,16152.05582,postapril
2028,Wind,18442.2018,postapril
2029,Wind,20394.46089,postapril
2030,Wind,6416.618076,postapril
2031,Wind,8201.26241,postapril
2032,Wind,9062.747646,postapril
2033,Wind,10757.07468,postapril
2034,Wind,12133.6728,postapril
2035,Wind,13475.1764,postapril
2036,Wind,14819.19991,postapril
2037,Wind,15731.5534,postapril
2038,Wind,16993.54871,postapril
2039,Wind,17792.72605,postapril
2040,Wind,505395.2065,postapril
2041,Wind,514339.6888,postapril
2042,Wind,505115.5407,postapril
2043,Wind,530072.2797,postapril
2044,Wind,541302.8666,postapril
2045,Wind,1108293.348,postapril
2016,PV,0,e3
2017,PV,0,e3
2018,PV,0,e3
2019,PV,331.7568894,e3
2020,PV,12046.62621,e3
2021,PV,25453.32717,e3
2022,PV,0,e3
2023,PV,0,e3
2024,PV,30.53686931,e3
2025,PV,1150.140863,e3
2026,PV,1326.62883,e3
2027,PV,1939.897047,e3
2028,PV,2478.032409,e3
2029,PV,3074.774078,e3
2030,PV,1993.446157,e3
2031,PV,2638.594058,e3
2032,PV,3551.164377,e3
2033,PV,3817.535892,e3
2034,PV,4806.240621,e3
2035,PV,2966.610931,e3
2036,PV,4396.311092,e3
2037,PV,3811.025083,e3
2038,PV,6056.466054,e3
2039,PV,7022.656697,e3
2040,PV,29751.49008,e3
2041,PV,39609.6034,e3
2042,PV,45164.4713,e3
2043,PV,46349.91456,e3
2044,PV,50573.79303,e3
2045,PV,525990.3462,e3
2016,Wind,0,e3
2017,Wind,0,e3
2018,Wind,0,e3
2019,Wind,3.50962653,e3
2020,Wind,0,e3
2021,Wind,6,e3
2022,Wind,0,e3
2023,Wind,0,e3
2024,Wind,0,e3
2025,Wind,962.0568345,e3
2026,Wind,879.1791154,e3
2027,Wind,2042.105388,e3
2028,Wind,2989.785908,e3
2029,Wind,3608.241854,e3
2030,Wind,2390.539097,e3
2031,Wind,2505.899787,e3
2032,Wind,2920.642212,e3
2033,Wind,3927.116862,e3
2034,Wind,5104.310725,e3
2035,Wind,3131.838421,e3
2036,Wind,2004.447449,e3
2037,Wind,3461.374029,e3
2038,Wind,4391.424938,e3
2039,Wind,6386.64579,e3
2040,Wind,26178.8913,e3
2041,Wind,31807.53384,e3
2042,Wind,33624.71489,e3
2043,Wind,32573.59039,e3
2044,Wind,33403.90586,e3
2045,Wind,194092.7379,e3
2016,PV,0,e3genmod
2017,PV,0,e3genmod
2018,PV,0,e3genmod
2019,PV,340.169576,e3genmod
2020,PV,10775.0745,e3genmod
2021,PV,22078.09109,e3genmod
2022,PV,16.00174736,e3genmod
2023,PV,104.87742,e3genmod
2024,PV,109.8873783,e3genmod
2025,PV,784.4394833,e3genmod
2026,PV,774.7832411,e3genmod
2027,PV,1209.82786,e3genmod
2028,PV,1858.165349,e3genmod
2029,PV,1982.949797,e3genmod
2030,PV,1560.026218,e3genmod
2031,PV,1325.252743,e3genmod
2032,PV,2148.644277,e3genmod
2033,PV,2403.19051,e3genmod
2034,PV,3212.280267,e3genmod
2035,PV,1831.410717,e3genmod
2036,PV,1769.348898,e3genmod
2037,PV,2540.654607,e3genmod
2038,PV,3306.667087,e3genmod
2039,PV,4870.346272,e3genmod
2040,PV,26919.04713,e3genmod
2041,PV,38229.09786,e3genmod
2042,PV,42703.51155,e3genmod
2043,PV,43590.88153,e3genmod
2044,PV,47242.01532,e3genmod
2045,PV,531088.2425,e3genmod
2016,Wind,0,e3genmod
2017,Wind,0,e3genmod
2018,Wind,0,e3genmod
2019,Wind,2,e3genmod
2020,Wind,0,e3genmod
2021,Wind,9,e3genmod
2022,Wind,0,e3genmod
2023,Wind,0,e3genmod
2024,Wind,0,e3genmod
2025,Wind,1080.991198,e3genmod
2026,Wind,1090.34914,e3genmod
2027,Wind,1340.666426,e3genmod
2028,Wind,2021.869813,e3genmod
2029,Wind,3682.444051,e3genmod
2030,Wind,1424.533256,e3genmod
2031,Wind,1985.406829,e3genmod
2032,Wind,2094.615236,e3genmod
2033,Wind,2999.440354,e3genmod
2034,Wind,3816.55828,e3genmod
2035,Wind,1943.935117,e3genmod
2036,Wind,1795.291858,e3genmod
2037,Wind,2853.538846,e3genmod
2038,Wind,3675.906917,e3genmod
2039,Wind,4797.323156,e3genmod
2040,Wind,23689.56184,e3genmod
2041,Wind,28546.91894,e3genmod
2042,Wind,31304.51428,e3genmod
2043,Wind,30114.80349,e3genmod
2044,Wind,32087.10951,e3genmod
2045,Wind,191355.5435,e3genmod
